SiteID,HBIAPV.158p,HBIAPV.158n,HBIAPV.158Prop,HBDWV.269p,HBDWV.269n,HBDWV.269Prop,HBSBV.342p,HBSBV.342n,HBSBV.342Prop,HBABPV.460p,HBABPV.460n,HBABPV.460Prop,HBBQCV.536p,HBBQCV.536n,HBBQCV.536Prop,HBCBPV.774p,HBCBPV.774n,HBCBPV.774Prop,IAPV.158p,IAPV.158n,IAPV.158Prop,DWV.269p,DWV.269n,DWV.269Prop,SBV.342p,SBV.342n,SBV.342Prop,ABPV.460p,ABPV.460n,ABPV.460Prop,BQCV.536p,BQCV.536n,BQCV.536Prop,CBPV.774p,CBPV.774n,CBPV.774Prop,Urban,Commercial,Forest
1,0,3,0,3,0,1,1,2,0.333333333333333,0,3,0,0,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
2,0,3,0,2,1,0.666666666666667,0,3,0,0,3,0,3,0,1,3,0,1,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
3,0,3,0,0,3,0,2,1,0.666666666666667,0,3,0,0,3,0,0,3,0,0,10,0,1,9,0.1,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
4,0,3,0,0,3,0,1,2,0.333333333333333,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,9,0.1,1,0,0
5,0,3,0,3,0,1,0,3,0,0,3,0,2,1,0.666666666666667,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
6,0,3,0,3,0,1,0,3,0,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
7,0,3,0,1,2,0.333333333333333,0,3,0,0,3,0,1,2,0.333333333333333,0,3,0,8,2,0.8,8,2,0.8,0,10,0,0,10,0,4,6,0.4,0,10,0,1,0,0
8,0,3,0,0,3,0,3,0,1,0,3,0,3,0,1,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
9,0,3,0,2,1,0.666666666666667,1,2,0.333333333333333,0,3,0,3,0,1,0,3,0,7,3,0.7,7,3,0.7,0,10,0,0,10,0,3,7,0.3,0,10,0,1,0,0
10,0,3,0,1,2,0.333333333333333,2,1,0.666666666666667,0,3,0,1,2,0.333333333333333,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
12,1,2,0.333333333333333,3,0,1,0,3,0,0,3,0,1,2,0.333333333333333,0,3,0,1,9,0.1,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
13,0,3,0,0,3,0,2,1,0.666666666666667,0,3,0,0,3,0,0,3,0,6,4,0.6,6,4,0.6,0,10,0,0,10,0,1,9,0.1,0,10,0,1,0,0
14,0,3,0,3,0,1,0,3,0,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
15,0,4,0,4,0,1,0,4,0,0,4,0,1,3,0.25,0,4,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
16,0,3,0,1,2,0.333333333333333,0,3,0,0,3,0,2,1,0.666666666666667,2,1,0.666666666666667,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
17,0,3,0,3,0,1,1,2,0.333333333333333,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
18,0,3,0,3,0,1,1,2,0.333333333333333,0,3,0,2,1,0.666666666666667,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
19,0,3,0,1,2,0.333333333333333,0,3,0,0,3,0,1,2,0.333333333333333,0,3,0,0,10,0,1,9,0.1,0,10,0,0,10,0,0,10,0,0,10,0,1,0,0
20,0,3,0,0,3,0,1,2,0.333333333333333,0,3,0,3,0,1,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,1,0
21,0,3,0,1,2,0.333333333333333,2,1,0.666666666666667,0,3,0,1,2,0.333333333333333,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,1,0
22,0,3,0,1,2,0.333333333333333,0,3,0,0,3,0,0,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
23,1,2,0.333333333333333,0,3,0,1,2,0.333333333333333,0,3,0,3,0,1,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
25,0,3,0,2,1,0.666666666666667,0,3,0,0,3,0,0,3,0,0,3,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
